symbol,base,status,kind,bars,first_bar,last_bar,ret_listing_to_end,dd_from_ath_high
LUNAUSDT,LUNA,TRADING,coin,2202,2020-08-21,2026-09-17,-0.8949930458970793,-0.999621079046424
RSRUSDT,RSR,TRADING,coin,2213,2020-08-27,2026-09-17,-0.9423333333333334,-0.9883697478991597
PAXGUSDT,PAXG,TRADING,coin,2212,2020-08-28,2026-09-17,1.1950667091340197,-0.23165323508280156
WNXMUSDT,WNXM,BREAK,coin,1390,2020-08-28,2024-06-17,0.5416666666666667,-0.4540983606557376
TRBUSDT,TRB,TRADING,coin,2211,2020-08-29,2026-09-17,-0.7719665550947472,-0.9728157191911484
BZRXUSDT,BZRX,BREAK,coin,477,2020-08-31,2021-12-20,-0.8299550437731682,-0.8764894592117324
SUSHIUSDT,SUSHI,TRADING,coin,2208,2020-09-01,2026-09-17,-0.9739663789186733,-0.9902176696542894
YFIIUSDT,YFII,BREAK,coin,1086,2020-09-01,2023-08-22,-0.9490621827351795,-0.9558540293968576
KSMUSDT,KSM,TRADING,coin,2205,2020-09-04,2026-09-17,-0.8956529987905234,-0.99296
EGLDUSDT,EGLD,TRADING,coin,2206,2020-09-03,2026-09-17,-0.7807007661108607,-0.9928470372071658
DIAUSDT,DIA,TRADING,coin,2205,2020-09-04,2026-09-17,-0.9586793737236216,-0.9790689655172414
RUNEUSDT,RUNE,TRADING,coin,2205,2020-09-04,2026-09-17,-0.3877551020408163,-0.9764567669172932
FIOUSDT,FIO,BREAK,coin,2058,2020-09-04,2026-04-23,-0.9951918158567775,-0.9983508771929824
UMAUSDT,UMA,TRADING,coin,2200,2020-09-09,2026-09-17,-0.9771247907755254,-0.9916132551479613
EOSUPUSDT,EOSUP,BREAK,leveraged,470,2020-09-10,2021-12-23,-0.9781782505421873,-0.9866628795051442
EOSDOWNUSDT,EOSDOWN,BREAK,leveraged,470,2020-09-10,2021-12-23,-0.9999643378417826,-0.9999745433076336
TRXUPUSDT,TRXUP,BREAK,leveraged,811,2020-09-10,2022-11-29,-0.9959004361238166,-0.9986104200468722
TRXDOWNUSDT,TRXDOWN,BREAK,leveraged,811,2020-09-10,2022-11-29,-0.8928605023045809,-0.9411065149948293
XRPUPUSDT,XRPUP,BREAK,leveraged,974,2020-09-11,2023-05-12,-0.9915705412599822,-0.9991172826760273
XRPDOWNUSDT,XRPDOWN,BREAK,leveraged,974,2020-09-11,2023-05-12,-0.9999917529518619,-0.9999933835316979
DOTUPUSDT,DOTUP,BREAK,leveraged,810,2020-09-11,2022-11-29,-0.9911332779163203,-0.9995356845750547
DOTDOWNUSDT,DOTDOWN,BREAK,leveraged,810,2020-09-11,2022-11-29,0.9215843857634898,-0.6842075471698114
BELUSDT,BEL,TRADING,coin,2194,2020-09-15,2026-09-17,-0.9811673352343209,-0.9938473684210526
WINGUSDT,WING,BREAK,coin,1690,2020-09-16,2025-05-02,-0.996475523265871,-0.9989133333333333
LTCUPUSDT,LTCUP,BREAK,leveraged,499,2020-09-16,2022-01-27,-0.9527971684200177,-0.9949351731704487
LTCDOWNUSDT,LTCDOWN,BREAK,leveraged,499,2020-09-16,2022-01-27,-0.7790439353367054,-0.8325013156905496
UNIUSDT,UNI,TRADING,coin,2192,2020-09-17,2026-09-17,1.1942975994453593,-0.8311999999999999
NBSUSDT,NBS,BREAK,coin,764,2020-09-21,2022-10-24,-0.865040650406504,-0.9680769230769231
OXTUSDT,OXT,BREAK,coin,2041,2020-09-21,2026-04-23,-0.9740403203534935,-0.9909615384615384
SUNUSDT,SUN,TRADING,coin,2185,2020-09-21,2026-09-17,-0.9991379934806229,-0.9996946480938417
AVAXUSDT,AVAX,TRADING,coin,2187,2020-09-22,2026-09-17,0.4327073111123645,-0.948156462585034
HNTUSDT,HNT,BREAK,coin,751,2020-09-24,2022-10-14,1.039301310043668,-0.9212080310443732
FLMUSDT,FLM,BREAK,coin,1872,2020-09-28,2025-11-12,-0.9824763903462749,-0.9962888888888889
UNIUPUSDT,UNIUP,BREAK,leveraged,450,2020-09-30,2021-12-23,-0.8957097667062079,-0.9811124836636411
UNIDOWNUSDT,UNIDOWN,BREAK,leveraged,450,2020-09-30,2021-12-23,-0.7802731411229135,-0.9330724432255878
ORNUSDT,ORN,BREAK,coin,1477,2020-09-30,2024-10-15,-0.6322938855327025,-0.9647236180904523
UTKUSDT,UTK,BREAK,coin,2021,2020-10-02,2026-04-14,-0.95326278659612,-0.9925352112676056
XVSUSDT,XVS,TRADING,coin,2173,2020-10-06,2026-09-17,-0.12138728323699421,-0.9794085373287996
ALPHAUSDT,ALPHA,BREAK,coin,1729,2020-10-10,2025-07-04,-0.8120519279209455,-0.9967043234519664
AAVEUSDT,AAVE,TRADING,coin,2164,2020-10-15,2026-09-17,1.98960440940487,-0.807559880239521
NEARUSDT,NEAR,TRADING,coin,2165,2020-10-14,2026-09-17,1.57851946940522,-0.8537165606641743
SXPUPUSDT,SXPUP,BREAK,leveraged,407,2020-10-15,2021-11-25,-0.9799609015639374,-0.9827311465662472
SXPDOWNUSDT,SXPDOWN,BREAK,leveraged,407,2020-10-15,2021-11-25,-0.9912142927260233,-0.9996060964821555
FILUSDT,FIL,TRADING,coin,2164,2020-10-15,2026-09-17,-0.9867992286758616,-0.99808
FILUPUSDT,FILUP,BREAK,leveraged,442,2020-10-20,2022-01-04,-0.9864405262686834,-0.9983166666666666
FILDOWNUSDT,FILDOWN,BREAK,leveraged,442,2020-10-20,2022-01-04,-0.999913690610223,-0.9999541534597213
YFIUPUSDT,YFIUP,BREAK,leveraged,408,2020-10-21,2021-12-02,-0.9873894282632146,-0.99731097462793
YFIDOWNUSDT,YFIDOWN,BREAK,leveraged,408,2020-10-21,2021-12-02,-0.9167759815242494,-0.9679474863912905
INJUSDT,INJ,TRADING,coin,2158,2020-10-21,2026-09-17,6.336921696783288,-0.8919811320754717
AUDIOUSDT,AUDIO,TRADING,coin,2156,2020-10-23,2026-09-17,-0.9343077083116613,-0.9974689378757515
CTKUSDT,CTK,TRADING,coin,2152,2020-10-27,2026-09-17,-0.9116094986807388,-0.974875
BCHUPUSDT,BCHUP,BREAK,leveraged,279,2020-10-28,2022-01-04,-0.9928977830096135,-0.9973015281401416
BCHDOWNUSDT,BCHDOWN,BREAK,leveraged,279,2020-10-28,2022-01-04,-0.9768087521932088,-0.9837173913043479
AKROUSDT,AKRO,BREAK,coin,1515,2020-11-02,2024-12-25,-0.9039647577092511,-0.9889152542372881
AXSUSDT,AXS,TRADING,coin,2144,2020-11-04,2026-09-17,5.4664335184804225,-0.9943223553495093
HARDUSDT,HARD,BREAK,coin,1623,2020-11-06,2025-04-16,-0.9887440758293838,-0.9984166666666666
DNTUSDT,DNT,BREAK,coin,714,2020-11-10,2022-10-24,-0.40594059405940597,-0.9294117647058824
STRAXUSDT,STRAX,TRADING,coin,2123,2020-11-18,2026-09-17,-0.9766365949572057,-0.9977802197802198
UNFIUSDT,UNFI,BREAK,coin,1449,2020-11-19,2024-11-06,-0.6627348406730214,-0.9697967530946503
ROSEUSDT,ROSE,TRADING,coin,2129,2020-11-19,2026-09-17,-0.8117553613979349,-0.9881103678929766
AVAUSDT,AVA,TRADING,coin,2124,2020-11-24,2026-09-17,-0.6852480560727193,-0.9555631146020163
XEMUSDT,XEM,BREAK,coin,1302,2020-11-24,2024-06-17,-0.9036813518406759,-0.9815384615384616
AAVEUPUSDT,AAVEUP,BREAK,leveraged,351,2020-11-26,2021-11-11,-0.9572536463891853,-0.99839956099809
AAVEDOWNUSDT,AAVEDOWN,BREAK,leveraged,351,2020-11-26,2021-11-11,-0.9992026957857021,-0.9996176879653113
SKLUSDT,SKL,TRADING,coin,2117,2020-12-01,2026-09-17,-0.9497438737366746,-0.9970830018562715
